file name,instance length,random seed,initial temperture,max iterations without improvement,cooling factor,neighborhood size,test case number,execution time (seconds),best solution value, initial solution value
wt40.txt,40,17,1000000000000,1000,0.0001,2000,105,7.54317998886,5866,25022
wt50.txt,50,17,1000000000000,1000,0.0001,2000,119,8.24582004547,181944,225345
wt100.txt,100,17,1000000000000,1000,0.0001,2000,30,9.99920010567,38359,63112
wt100.txt,100,17,1000000000000,1000,0.0001,2000,26,10.059294939,25641,65829
wt40.txt,40,17,1000000000000,1000,0.0001,2000,9,14.633245945,27197,61869
wt40.txt,40,17,1000000000000,1000,0.0001,2000,28,14.7155539989,791,19091
wt50.txt,50,17,1000000000000,1000,0.0001,2000,41,15.145075798,146244,225144
wt50.txt,50,17,1000000000000,1000,0.0001,2000,77,15.1550941467,12685,34176
wt100.txt,100,17,1000000000000,1000,0.0001,2000,46,18.9754900932,1254018,1410617
wt100.txt,100,17,1000000000000,1000,0.0001,2000,80,19.0418429375,75109,174802
wt40.txt,40,123,1000000000,10000,0.0004,200,105,20.5398390293,3318,20160
wt40.txt,40,123,1000000000,10000,0.0004,200,28,20.7123980522,806,14047
wt40.txt,40,123,1000000000,10000,0.0004,200,9,20.7775149345,26576,37045
wt50.txt,50,123,1000000000,10000,0.0004,200,41,23.7763609886,139736,175934
wt50.txt,50,123,1000000000,10000,0.0004,200,119,23.8132350445,171766,247678
wt50.txt,50,123,1000000000,10000,0.0004,200,77,23.9418690205,9308,38515
wt100.txt,100,123,1000000000,10000,0.0004,200,30,36.1670079231,29261,117775
wt100.txt,100,123,1000000000,10000,0.0004,200,26,36.2180900574,15405,82283
wt100.txt,100,123,1000000000,10000,0.0004,200,46,36.9394259453,1201163,1514343
wt100.txt,100,123,1000000000,10000,0.0004,200,80,36.9618918896,49912,194247
wt40.txt,40,2,100000000000000,10000,0.001,1000,9,37.4047858715,22383,50936
wt40.txt,40,2,100000000000000,10000,0.001,1000,105,38.5373730659,2126,24539
wt40.txt,40,2,100000000000000,10000,0.001,1000,28,39.4005918503,692,9188
wt50.txt,50,2,100000000000000,10000,0.001,1000,119,40.1198029518,172720,248707
wt50.txt,50,2,100000000000000,10000,0.001,1000,41,40.7907969952,146852,221963
wt50.txt,50,2,100000000000000,10000,0.001,1000,77,40.8107419014,7982,46587
wt100.txt,100,2,100000000000000,10000,0.001,1000,30,51.0101659298,32290,85928
wt100.txt,100,2,100000000000000,10000,0.001,1000,80,51.5708470345,53943,138343
wt100.txt,100,2,100000000000000,10000,0.001,1000,26,52.011703968,16705,88951
wt100.txt,100,2,100000000000000,10000,0.001,1000,46,52.2602751255,1198703,1351458
wt40.txt,40,12,1000000000000,100000,0.0001,100,28,96.3730018139,245,5186
wt40.txt,40,12,1000000000000,100000,0.0001,100,9,97.122328043,23170,53603
wt40.txt,40,12,1000000000000,100000,0.0001,100,105,99.5660390854,1549,25161
wt50.txt,50,12,1000000000000,100000,0.0001,100,77,111.002707958,6674,56630
wt50.txt,50,12,1000000000000,100000,0.0001,100,41,111.370284081,135602,200879
wt50.txt,50,12,1000000000000,100000,0.0001,100,119,114.829424143,161942,234553
wt100.txt,100,12,1000000000000,100000,0.0001,100,30,159.284500122,26550,112996
wt100.txt,100,12,1000000000000,100000,0.0001,100,26,160.458570957,14280,69825
wt50.txt,50,123213,1000000000000,10000,0.00001,10000,41,161.233299017,137165,216825
wt100.txt,100,12,1000000000000,100000,0.0001,100,80,162.218584061,50094,134405
wt50.txt,50,123213,1000000000000,10000,0.00001,10000,77,162.475541115,7361,53188
wt100.txt,100,12,1000000000000,100000,0.0001,100,46,162.507202148,1195208,1492607
wt100.txt,100,123213,1000000000000,10000,0.00001,10000,80,165.509128094,48630,146747
wt100.txt,100,123213,1000000000000,10000,0.00001,10000,26,166.06052804,19399,73858
wt100.txt,100,123213,1000000000000,10000,0.00001,10000,46,166.566758156,1226644,1482878
wt100.txt,100,123213,1000000000000,10000,0.00001,10000,30,166.638023853,30870,81803
wt40.txt,40,123213,1000000000000,10000,0.00001,10000,28,178.171676159,48,4684
wt40.txt,40,123213,1000000000000,10000,0.00001,10000,9,179.037379026,24654,44158
wt40.txt,40,123213,1000000000000,10000,0.00001,10000,105,179.510131121,2496,37101
wt50.txt,50,123213,1000000000000,10000,0.00001,10000,119,179.782908201,172014,246403
